level,category,subcategory,word
A1,noun,home,home
A1,noun,home,house
A1,noun,home,room
A1,noun,home,door
A1,noun,home,window
A1,noun,home,table
A1,noun,home,chair
A1,noun,home,bed
A1,noun,home,kitchen
A1,noun,home,bathroom
A1,noun,food,water
A1,noun,food,bread
A1,noun,food,milk
A1,noun,food,apple
A1,noun,food,banana
A1,noun,food,cheese
A1,noun,food,coffee
A1,noun,food,tea
A1,noun,food,breakfast
A1,noun,food,lunch
A1,noun,school,school
A1,noun,school,book
A1,noun,school,pen
A1,noun,school,paper
A1,noun,school,teacher
A1,noun,school,student
A1,noun,school,class
A1,noun,school,lesson
A1,noun,school,language
A1,noun,school,picture
A1,noun,family,family
A1,noun,family,mother
A1,noun,family,father
A1,noun,family,parent
A1,noun,family,child
A1,noun,family,friend
A1,noun,family,baby
A1,noun,family,brother
A1,noun,family,sister
A1,noun,family,name
A1,noun,daily,phone
A1,noun,daily,computer
A1,noun,daily,key
A1,noun,daily,bag
A1,noun,clothes,shoe
A1,noun,clothes,shirt
A1,noun,clothes,jacket
A1,noun,daily,money
A1,noun,travel,ticket
A1,noun,daily,number
A1,noun,places,street
A1,noun,places,road
A1,noun,places,city
A1,noun,places,country
A1,noun,places,place
A1,noun,places,park
A1,noun,places,shop
A1,noun,transport,bus
A1,noun,transport,train
A1,noun,transport,bike
A1,noun,time,day
A1,noun,time,week
A1,noun,time,morning
A1,noun,time,evening
A1,noun,time,weekend
A1,noun,time,time
A1,noun,weather,weather
A1,noun,weather,rain
A1,noun,weather,sun
A1,noun,weather,snow
A1,noun,body,body
A1,noun,body,head
A1,noun,body,hand
A1,noun,body,foot
A1,noun,body,eye
A1,noun,body,ear
A1,noun,body,mouth
A1,noun,food,food
A1,noun,leisure,game
A1,noun,leisure,music
A1,verb,base,be
A1,verb,base,have
A1,verb,base,go
A1,verb,base,come
A1,verb,base,see
A1,verb,base,eat
A1,verb,base,drink
A1,verb,base,sleep
A1,verb,base,live
A1,verb,base,read
A1,verb,base,write
A1,verb,base,listen
A1,verb,base,look
A1,verb,base,speak
A1,verb,base,say
A1,verb,base,ask
A1,verb,base,answer
A1,verb,base,understand
A1,verb,base,help
A1,verb,base,buy
A1,verb,base,pay
A1,verb,base,open
A1,verb,base,close
A1,verb,base,sit
A1,verb,base,stand
A1,verb,base,wait
A1,verb,base,walk
A1,verb,base,travel
A1,verb,base,drive
A1,verb,base,start
A1,verb,base,stop
A1,verb,base,take
A1,verb,base,give
A1,verb,base,like
A1,verb,base,want
A1,verb,base,need
A1,verb,base,use
A1,verb,base,work
A1,verb,base,study
A1,verb,base,learn
A1,verb,base,cook
A1,verb,base,clean
A1,verb,base,wash
A1,verb,base,call
A1,verb,base,send
A1,verb,base,bring
A1,verb,base,carry
A1,verb,base,find
A1,verb,base,try
A1,verb,base,love
A1,verb,base,play
A1,verb,base,meet
A1,verb,base,know
A1,verb,base,think
A1,verb,base,feel
A1,verb,base,make
A1,verb,base,do
A1,verb,base,get
A1,verb,base,put
A1,verb,base,leave
A1,verb,base,arrive
A1,verb,base,stay
A1,verb,base,watch
A1,verb,base,wear
A1,verb,base,choose
A1,adjective,size,big
A1,adjective,size,small
A1,adjective,quality,good
A1,adjective,quality,bad
A1,adjective,age,new
A1,adjective,age,old
A1,adjective,age,young
A1,adjective,feeling,happy
A1,adjective,feeling,sad
A1,adjective,feeling,tired
A1,adjective,feeling,hungry
A1,adjective,feeling,thirsty
A1,adjective,temperature,hot
A1,adjective,temperature,cold
A1,adjective,temperature,warm
A1,adjective,difficulty,easy
A1,adjective,difficulty,hard
A1,adjective,speed,fast
A1,adjective,speed,slow
A1,adjective,size,long
A1,adjective,size,short
A1,adjective,state,clean
A1,adjective,state,dirty
A1,adjective,state,open
A1,adjective,state,closed
A1,adjective,state,full
A1,adjective,state,empty
A1,adjective,appearance,light
A1,adjective,appearance,dark
A1,adjective,appearance,beautiful
A1,adjective,appearance,ugly
A1,adjective,quality,nice
A1,adjective,personality,kind
A1,adjective,personality,friendly
A1,adjective,status,busy
A1,adjective,status,ready
A1,adjective,status,rich
A1,adjective,status,poor
A1,adjective,judgement,right
A1,adjective,judgement,wrong
A1,adjective,quality,strong
A1,adjective,quality,weak
A1,adjective,safety,safe
A1,adjective,health,sick
A1,adjective,health,healthy
A1,adjective,sound,quiet
A1,adjective,sound,loud
A1,adjective,taste,sweet
A1,adjective,quality,fresh
A1,adjective,price,cheap
A1,adjective,price,expensive
A1,adjective,difficulty,simple
A1,adjective,difficulty,difficult
A1,adjective,time,early
A1,adjective,time,late
A2,noun,travel,holiday
A2,noun,travel,trip
A2,noun,travel,airport
A2,noun,travel,luggage
A2,noun,travel,map
A2,noun,places,museum
A2,noun,places,beach
A2,noun,places,island
A2,noun,travel,hotel
A2,noun,travel,guest
A2,noun,housing,neighbor
A2,noun,housing,apartment
A2,noun,housing,rent
A2,noun,housing,address
A2,noun,planning,meeting
A2,noun,planning,schedule
A2,noun,school,homework
A2,noun,school,exercise
A2,noun,planning,appointment
A2,noun,communication,message
A2,noun,health,medicine
A2,noun,health,hospital
A2,noun,health,doctor
A2,noun,health,nurse
A2,noun,health,pharmacy
A2,noun,body,stomach
A2,noun,body,throat
A2,noun,body,arm
A2,noun,body,leg
A2,noun,body,heart
A2,noun,time,season
A2,noun,time,summer
A2,noun,time,winter
A2,noun,time,spring
A2,noun,time,autumn
A2,noun,weather,wind
A2,noun,weather,storm
A2,noun,weather,cloud
A2,noun,weather,temperature
A2,noun,clothes,coat
A2,noun,shopping,market
A2,noun,shopping,customer
A2,noun,shopping,receipt
A2,noun,shopping,price
A2,noun,shopping,bill
A2,noun,shopping,cash
A2,noun,shopping,card
A2,noun,shopping,change
A2,noun,shopping,sale
A2,noun,shopping,order
A2,noun,leisure,song
A2,noun,leisure,party
A2,noun,leisure,birthday
A2,noun,leisure,hobby
A2,noun,sport,team
A2,noun,sport,match
A2,noun,leisure,movie
A2,noun,places,library
A2,noun,work,office
A2,noun,places,garden
A2,verb,base,change
A2,verb,base,borrow
A2,verb,base,rent
A2,verb,base,visit
A2,verb,base,show
A2,verb,base,search
A2,verb,base,repair
A2,verb,base,shower
A2,verb,base,wake
A2,verb,base,shop
A2,verb,base,order
A2,verb,base,serve
A2,verb,base,tell
A2,verb,base,enjoy
A2,verb,base,hope
A2,verb,base,miss
A2,verb,base,worry
A2,verb,base,dream
A2,verb,base,continue
A2,verb,base,fix
A2,verb,base,invite
A2,verb,base,forget
A2,verb,base,remember
A2,verb,base,describe
A2,verb,base,prepare
A2,verb,base,practice
A2,verb,base,decide
A2,verb,base,agree
A2,verb,base,disagree
A2,verb,base,return
A2,verb,base,enter
A2,verb,base,cross
A2,verb,base,climb
A2,verb,base,save
A2,verb,base,spend
A2,verb,base,sell
A2,verb,base,lose
A2,verb,base,win
A2,verb,base,fill
A2,verb,base,share
A2,verb,base,join
A2,verb,base,check
A2,verb,present,is
A2,verb,present,has
A2,verb,present,goes
A2,verb,present,comes
A2,verb,present,eats
A2,verb,present,drinks
A2,verb,present,reads
A2,verb,present,writes
A2,verb,present,speaks
A2,verb,present,works
A2,verb,present,studies
A2,verb,present,needs
A2,verb,present,wants
A2,verb,present,tries
A2,verb,present,plans
A2,verb,present,stays
A2,verb,present,continues
A2,verb,present,tells
A2,verb,present,chooses
A2,verb,present,remembers
A2,verb,phrasal,put on
A2,verb,phrasal,take off
A2,verb,phrasal,look for
A2,adjective,quality,interesting
A2,adjective,quality,useful
A2,adjective,status,available
A2,adjective,feeling,comfortable
A2,adjective,feeling,nervous
A2,adjective,feeling,proud
A2,adjective,status,finished
A2,adjective,place,local
A2,adjective,place,national
A2,adjective,personality,polite
A2,adjective,personality,rude
A2,adjective,size,wide
A2,adjective,size,narrow
A2,adjective,state,wet
A2,adjective,state,dry
A2,adjective,texture,soft
A2,adjective,taste,delicious
A2,adjective,safety,dangerous
A2,adjective,personality,careful
A2,adjective,time,modern
A2,adjective,time,traditional
A2,adjective,status,famous
A2,adjective,status,popular
A2,adjective,quality,serious
A2,adjective,privacy,private
A2,adjective,privacy,public
A2,adjective,possibility,possible
A2,adjective,possibility,impossible
A2,adjective,quality,normal
A2,adjective,quality,strange
A2,adjective,health,ill
A2,adjective,feeling,alone
A2,adverb,frequency,always
A2,adverb,frequency,often
A2,adverb,frequency,sometimes
A2,adverb,frequency,rarely
A2,adverb,frequency,never
A2,adverb,frequency,usually
A2,adverb,time,now
A2,adverb,time,soon
A2,adverb,time,today
A2,adverb,time,tomorrow
A2,adverb,time,yesterday
A2,adverb,time,already
A2,adverb,time,still
A2,adverb,time,again
A2,adverb,degree,only
A2,adverb,degree,very
A2,adverb,degree,really
A2,adverb,degree,almost
A2,adverb,degree,quite
A2,adverb,manner,quickly
A2,adverb,manner,slowly
A2,adverb,manner,carefully
