level,category,subcategory,word
A1,nom,climat,pluie
A1,nom,climat,neige
A1,nom,climat,soleil
A1,nom,climat,temps
A1,nom,nourriture,eau
A1,nom,nourriture,déjeuner
A1,nom,nourriture,café
A1,nom,nourriture,repas
A1,nom,nourriture,petit déjeuner
A1,nom,nourriture,lait
A1,nom,nourriture,pomme
A1,nom,nourriture,pain
A1,nom,nourriture,banane
A1,nom,nourriture,fromage
A1,nom,nourriture,thé
A1,nom,corps,bouche
A1,nom,corps,tête
A1,nom,corps,corps
A1,nom,corps,main
A1,nom,corps,œil
A1,nom,corps,oreille
A1,nom,corps,pied
A1,nom,quotidien,sac
A1,nom,quotidien,ordinateur
A1,nom,quotidien,argent
A1,nom,quotidien,clé
A1,nom,quotidien,numéro
A1,nom,quotidien,téléphone
A1,nom,école,stylo
A1,nom,école,classe
A1,nom,école,dessin
A1,nom,école,école
A1,nom,école,élève
A1,nom,école,langue
A1,nom,école,leçon
A1,nom,école,livre
A1,nom,école,papier
A1,nom,école,professeur
A1,nom,famille,ami
A1,nom,famille,bébé
A1,nom,famille,famille
A1,nom,famille,sœur
A1,nom,famille,frère
A1,nom,famille,fille
A1,nom,famille,fils
A1,nom,famille,mère
A1,nom,famille,nom
A1,nom,famille,père
A1,nom,maison,appartement
A1,nom,maison,salle de bains
A1,nom,maison,lit
A1,nom,maison,maison
A1,nom,maison,cuisine
A1,nom,maison,chambre
A1,nom,maison,table
A1,nom,maison,porte
A1,nom,maison,chaise
A1,nom,maison,fenêtre
A1,nom,lieux,rue
A1,nom,lieux,chemin
A1,nom,lieux,ville
A1,nom,lieux,endroit
A1,nom,lieux,pays
A1,nom,lieux,parc
A1,nom,lieux,magasin
A1,nom,loisirs,jeu
A1,nom,loisirs,musique
A1,nom,vêtements,chemise
A1,nom,vêtements,veste
A1,nom,vêtements,chaussure
A1,nom,temps,jour
A1,nom,temps,week-end
A1,nom,temps,heure
A1,nom,temps,matin
A1,nom,temps,semaine
A1,nom,temps,soir
A1,nom,transport,vélo
A1,nom,transport,bus
A1,nom,transport,train
A1,nom,voyage,billet
A1,verbe,infinitif,être
A1,verbe,infinitif,avoir
A1,verbe,infinitif,aller
A1,verbe,infinitif,venir
A1,verbe,infinitif,voir
A1,verbe,infinitif,manger
A1,verbe,infinitif,boire
A1,verbe,infinitif,dormir
A1,verbe,infinitif,vivre
A1,verbe,infinitif,lire
A1,verbe,infinitif,écrire
A1,verbe,infinitif,écouter
A1,verbe,infinitif,regarder
A1,verbe,infinitif,parler
A1,verbe,infinitif,dire
A1,verbe,infinitif,demander
A1,verbe,infinitif,répondre
A1,verbe,infinitif,comprendre
A1,verbe,infinitif,aider
A1,verbe,infinitif,acheter
A1,verbe,infinitif,payer
A1,verbe,infinitif,ouvrir
A1,verbe,infinitif,fermer
A1,verbe,infinitif,s'asseoir
A1,verbe,infinitif,se lever
A1,verbe,infinitif,attendre
A1,verbe,infinitif,marcher
A1,verbe,infinitif,voyager
A1,verbe,infinitif,conduire
A1,verbe,infinitif,commencer
A1,verbe,infinitif,finir
A1,verbe,infinitif,prendre
A1,verbe,infinitif,donner
A1,verbe,infinitif,aimer
A1,verbe,infinitif,vouloir
A1,verbe,infinitif,avoir besoin
A1,verbe,infinitif,utiliser
A1,verbe,infinitif,travailler
A1,verbe,infinitif,étudier
A1,verbe,infinitif,apprendre
A1,verbe,infinitif,cuisiner
A1,verbe,infinitif,nettoyer
A1,verbe,infinitif,laver
A1,verbe,infinitif,appeler
A1,verbe,infinitif,envoyer
A1,verbe,infinitif,apporter
A1,verbe,infinitif,porter
A1,verbe,infinitif,trouver
