level,category,subcategory,word
A1,substantiv,wetter,Regen
A1,substantiv,wetter,Schnee
A1,substantiv,wetter,Sonne
A1,substantiv,wetter,Wetter
A1,substantiv,essen,Wasser
A1,substantiv,essen,Mittagessen
A1,substantiv,essen,Kaffee
A1,substantiv,essen,Reis
A1,substantiv,essen,Frühstück
A1,substantiv,essen,Milch
A1,substantiv,essen,Apfel
A1,substantiv,essen,Brot
A1,substantiv,essen,Banane
A1,substantiv,essen,Käse
A1,substantiv,essen,Tee
A1,substantiv,körper,Mund
A1,substantiv,körper,Kopf
A1,substantiv,körper,Körper
A1,substantiv,körper,Hand
A1,substantiv,körper,Auge
A1,substantiv,körper,Ohr
A1,substantiv,körper,Fuß
A1,substantiv,alltag,Tasche
A1,substantiv,alltag,Computer
A1,substantiv,alltag,Geld
A1,substantiv,alltag,Schlüssel
A1,substantiv,alltag,Nummer
A1,substantiv,alltag,Telefon
A1,substantiv,schule,Stift
A1,substantiv,schule,Klasse
A1,substantiv,schule,Bild
A1,substantiv,schule,Schule
A1,substantiv,schule,Schüler
A1,substantiv,schule,Sprache
A1,substantiv,schule,Stunde
A1,substantiv,schule,Buch
A1,substantiv,schule,Papier
A1,substantiv,schule,Lehrer
A1,substantiv,familie,Freund
A1,substantiv,familie,Baby
A1,substantiv,familie,Familie
A1,substantiv,familie,Schwester
A1,substantiv,familie,Bruder
A1,substantiv,familie,Tochter
A1,substantiv,familie,Sohn
A1,substantiv,familie,Mutter
A1,substantiv,familie,Name
A1,substantiv,familie,Vater
A1,substantiv,haus,Wohnung
A1,substantiv,haus,Bad
A1,substantiv,haus,Bett
A1,substantiv,haus,Haus
A1,substantiv,haus,Küche
A1,substantiv,haus,Zimmer
A1,substantiv,haus,Tisch
A1,substantiv,haus,Tür
A1,substantiv,haus,Stuhl
A1,substantiv,haus,Fenster
A1,substantiv,orte,Straße
A1,substantiv,orte,Weg
A1,substantiv,orte,Stadt
A1,substantiv,orte,Ort
A1,substantiv,orte,Land
A1,substantiv,orte,Park
A1,substantiv,orte,Geschäft
A1,substantiv,freizeit,Spiel
A1,substantiv,freizeit,Musik
A1,substantiv,kleidung,Hemd
A1,substantiv,kleidung,Jacke
A1,substantiv,kleidung,Schuh
A1,substantiv,zeit,Tag
A1,substantiv,zeit,Wochenende
A1,substantiv,zeit,Uhr
A1,substantiv,zeit,Morgen
A1,substantiv,zeit,Woche
A1,substantiv,zeit,Abend
A1,substantiv,transport,Fahrrad
