level,category,subcategory,word
A1,sustantivo,clima,lluvia
A1,sustantivo,clima,nieve
A1,sustantivo,clima,sol
A1,sustantivo,clima,tiempo
A1,sustantivo,comida,agua
A1,sustantivo,comida,almuerzo
A1,sustantivo,comida,café
A1,sustantivo,comida,comida
A1,sustantivo,comida,desayuno
A1,sustantivo,comida,leche
A1,sustantivo,comida,manzana
A1,sustantivo,comida,pan
A1,sustantivo,comida,plátano
A1,sustantivo,comida,queso
A1,sustantivo,comida,té
A1,sustantivo,cuerpo,boca
A1,sustantivo,cuerpo,cabeza
A1,sustantivo,cuerpo,cuerpo
A1,sustantivo,cuerpo,mano
A1,sustantivo,cuerpo,ojo
A1,sustantivo,cuerpo,oreja
A1,sustantivo,cuerpo,pie
A1,sustantivo,diario,bolsa
A1,sustantivo,diario,computadora
A1,sustantivo,diario,dinero
A1,sustantivo,diario,llave
A1,sustantivo,diario,número
A1,sustantivo,diario,teléfono
A1,sustantivo,escuela,bolígrafo
A1,sustantivo,escuela,clase
A1,sustantivo,escuela,dibujo
A1,sustantivo,escuela,escuela
A1,sustantivo,escuela,estudiante
A1,sustantivo,escuela,idioma
A1,sustantivo,escuela,lección
A1,sustantivo,escuela,libro
A1,sustantivo,escuela,papel
A1,sustantivo,escuela,profesor
A1,sustantivo,familia,amigo
A1,sustantivo,familia,bebé
A1,sustantivo,familia,familia
A1,sustantivo,familia,hermana
A1,sustantivo,familia,hermano
A1,sustantivo,familia,hija
A1,sustantivo,familia,hijo
A1,sustantivo,familia,madre
A1,sustantivo,familia,nombre
A1,sustantivo,familia,padre
A1,sustantivo,hogar,apartamento
A1,sustantivo,hogar,baño
A1,sustantivo,hogar,cama
A1,sustantivo,hogar,casa
A1,sustantivo,hogar,cocina
A1,sustantivo,hogar,habitación
A1,sustantivo,hogar,mesa
A1,sustantivo,hogar,puerta
A1,sustantivo,hogar,silla
A1,sustantivo,hogar,ventana
A1,sustantivo,lugares,calle
A1,sustantivo,lugares,camino
A1,sustantivo,lugares,ciudad
A1,sustantivo,lugares,lugar
A1,sustantivo,lugares,país
A1,sustantivo,lugares,parque
A1,sustantivo,lugares,tienda
A1,sustantivo,ocio,juego
A1,sustantivo,ocio,música
A1,sustantivo,ropa,camisa
A1,sustantivo,ropa,chaqueta
A1,sustantivo,ropa,zapato
A1,sustantivo,tiempo,día
A1,sustantivo,tiempo,fin de semana
A1,sustantivo,tiempo,hora
A1,sustantivo,tiempo,mañana
A1,sustantivo,tiempo,semana
A1,sustantivo,tiempo,tarde
A1,sustantivo,transporte,bicicleta
A1,sustantivo,transporte,bus
A1,sustantivo,transporte,tren
A1,sustantivo,viaje,boleto
A1,verbo,infinitivo,abrir
A1,verbo,infinitivo,amar
A1,verbo,infinitivo,aprender
A1,verbo,infinitivo,ayudar
A1,verbo,infinitivo,beber
A1,verbo,infinitivo,caminar
A1,verbo,infinitivo,cerrar
A1,verbo,infinitivo,cocinar
A1,verbo,infinitivo,comer
A1,verbo,infinitivo,comprar
A1,verbo,infinitivo,conducir
A1,verbo,infinitivo,conocer
A1,verbo,infinitivo,dar
A1,verbo,infinitivo,deber
A1,verbo,infinitivo,decir
A1,verbo,infinitivo,dormir
A1,verbo,infinitivo,elegir
A1,verbo,infinitivo,empezar
A1,verbo,infinitivo,encontrar
A1,verbo,infinitivo,entender
A1,verbo,infinitivo,enviar
A1,verbo,infinitivo,escribir
A1,verbo,infinitivo,escuchar
A1,verbo,infinitivo,esperar
A1,verbo,infinitivo,estar
A1,verbo,infinitivo,estudiar
A1,verbo,infinitivo,gustar
A1,verbo,infinitivo,hablar
A1,verbo,infinitivo,hacer
A1,verbo,infinitivo,intentar
A1,verbo,infinitivo,ir
A1,verbo,infinitivo,jugar
A1,verbo,infinitivo,lavar
A1,verbo,infinitivo,leer
A1,verbo,infinitivo,levantarse
A1,verbo,infinitivo,limpiar
A1,verbo,infinitivo,llamar
A1,verbo,infinitivo,llegar
A1,verbo,infinitivo,llevar
A1,verbo,infinitivo,mirar
A1,verbo,infinitivo,necesitar
A1,verbo,infinitivo,pagar
A1,verbo,infinitivo,pensar
A1,verbo,infinitivo,poder
A1,verbo,infinitivo,poner
A1,verbo,infinitivo,preguntar
A1,verbo,infinitivo,quedarse
A1,verbo,infinitivo,querer
A1,verbo,infinitivo,responder
A1,verbo,infinitivo,saber
A1,verbo,infinitivo,salir
A1,verbo,infinitivo,sentarse
A1,verbo,infinitivo,sentir
A1,verbo,infinitivo,ser
A1,verbo,infinitivo,tener
A1,verbo,infinitivo,terminar
A1,verbo,infinitivo,tomar
A1,verbo,infinitivo,trabajar
A1,verbo,infinitivo,traer
A1,verbo,infinitivo,usar
A1,verbo,infinitivo,venir
A1,verbo,infinitivo,ver
A1,verbo,infinitivo,vestir
A1,verbo,infinitivo,viajar
A1,verbo,infinitivo,vivir
A1,adjetivo,apariencia,bonito
A1,adjetivo,apariencia,claro
A1,adjetivo,apariencia,feo
A1,adjetivo,apariencia,oscuro
A1,adjetivo,calidad,agradable
A1,adjetivo,calidad,bueno
A1,adjetivo,calidad,débil
A1,adjetivo,calidad,fresco
A1,adjetivo,calidad,fuerte
A1,adjetivo,calidad,malo
A1,adjetivo,dificultad,complicado
A1,adjetivo,dificultad,difícil
A1,adjetivo,dificultad,fácil
A1,adjetivo,dificultad,sencillo
A1,adjetivo,edad,joven
A1,adjetivo,edad,nuevo
A1,adjetivo,edad,viejo
A1,adjetivo,emoción,cansado
A1,adjetivo,emoción,feliz
A1,adjetivo,emoción,hambriento
A1,adjetivo,emoción,sediento
A1,adjetivo,emoción,triste
A1,adjetivo,estado,abierto
A1,adjetivo,estado,cerrado
A1,adjetivo,estado,limpio
A1,adjetivo,estado,listo
A1,adjetivo,estado,lleno
A1,adjetivo,estado,ocupado
A1,adjetivo,estado,pobre
A1,adjetivo,estado,rico
A1,adjetivo,estado,sucio
A1,adjetivo,estado,vacío
A1,adjetivo,juicio,correcto
A1,adjetivo,juicio,incorrecto
A1,adjetivo,personalidad,amable
A1,adjetivo,personalidad,simpático
A1,adjetivo,precio,barato
A1,adjetivo,precio,caro
A1,adjetivo,sabor,dulce
A1,adjetivo,salud,enfermo
A1,adjetivo,salud,sano
A1,adjetivo,seguridad,seguro
A1,adjetivo,sonido,ruidoso
A1,adjetivo,sonido,silencioso
A1,adjetivo,tamaño,corto
A1,adjetivo,tamaño,grande
A1,adjetivo,tamaño,largo
A1,adjetivo,tamaño,pequeño
A1,adjetivo,temperatura,caliente
A1,adjetivo,temperatura,frío
A1,adjetivo,temperatura,tibio
A1,adjetivo,tiempo,tarde
A1,adjetivo,tiempo,temprano
A1,adjetivo,velocidad,lento
A1,adjetivo,velocidad,rápido
A2,sustantivo,clima,nube
A2,sustantivo,clima,temperatura
A2,sustantivo,clima,tormenta
A2,sustantivo,clima,viento
A2,sustantivo,compras,cambio
A2,sustantivo,compras,cliente
A2,sustantivo,compras,cuenta
A2,sustantivo,compras,efectivo
